,Name,Born,Age,Batting Style,Bowling Style,Playing Role,Teams_playing,Country,Mat,Span,Runs,HS,Bat Avg,100s,Wkts,Bowl Avg,5w,Catches,Stumping,Avg Diff,Matches_won,Matches_lost,BBI_wickets,BBI_runs,career_span_yrs
18,Amir Hamza Hotak,1991-08-15,32,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,5,Afghanistan,33,2013-2021,40,21,10.0,0,30,25.06,0,1,0,-15.06,24,9,3,39,8
22,Mohammad Asghar Afghan,1987-12-26,36,Right hand Bat,Right arm Medium fast,Middle order Batter,4,Afghanistan,75,2010-2021,1382,62,21.93,0,1,4.0,0,20,0,17.93,53,21,1,4,11
25,Azmatullah Omarzai,2000-03-24,23,Right hand Bat,Right arm Medium fast,Allrounder,9,Afghanistan,30,2022-2024,252,33,15.75,0,17,36.47,0,9,0,-20.72,14,15,3,22,2
34,Dawlat Zadran,1988-03-19,35,Right hand Bat,Right arm Fast medium,Bowler,2,Afghanistan,34,2012-2019,68,13,7.55,0,40,24.5,0,7,0,-16.94,21,13,4,44,7
43,Fareed Ahmad Malik,1994-08-10,29,Left hand Bat,Left arm Fast medium,Bowler,5,Afghanistan,29,2016-2024,32,24,32.0,0,38,19.31,0,5,0,12.68,18,9,3,14,8
48,Fazalhaq Farooqi,2000-09-22,23,Right hand Bat,Left arm Fast medium,Bowler,17,Afghanistan,29,2021-2024,1,1,0.5,0,31,22.64,0,3,0,-22.14,14,15,3,11,3
50,Gulbadin Naib,1991-06-04,32,Right hand Bat,Right arm Medium fast,Batting Allrounder,5,Afghanistan,63,2012-2024,787,57,21.86,0,26,31.26,0,24,0,-9.4,36,24,3,28,12
53,Hamid Hassan,1987-06-01,36,Right hand Bat,Right arm Fast,Bowler,5,Afghanistan,25,2010-2021,50,22,16.66,0,35,16.57,0,3,0,0.09,15,10,4,22,11
75,Karim Janat,1998-08-11,25,Right hand Bat,Right arm Medium,Bowling Allrounder,13,Afghanistan,56,2016-2024,546,56,16.54,0,41,26.29,1,12,0,-9.74,36,17,5,11,8
76,Karim Sadiq Khan,1984-01-05,40,Right hand Bat,Right arm Offbreak,Opening Batter,3,Afghanistan,36,2010-2018,538,72,14.94,0,14,34.42,0,6,0,-19.48,21,15,3,17,8
89,Mirwais Ashraf,1988-09-04,35,Right hand Bat,Right arm Fast medium,Bowler,2,Afghanistan,25,2010-2016,128,28,11.63,0,14,31.71,0,5,0,-20.07,16,9,2,6,6
94,Mohammad Nabi,1985-01-01,39,Right hand Bat,Right arm Offbreak,Allrounder,36,Afghanistan,115,2010-2024,1967,89,22.6,0,88,28.6,0,61,0,-5.99,70,43,4,10,14
101,Mujeeb Ur Rahman,2001-03-28,22,Right hand Bat,Right arm Offbreak,Bowler,24,Afghanistan,45,2018-2024,54,21,9.0,0,58,18.13,1,7,0,-9.13,23,21,5,20,6
107,Mohammad Nasim Baras,1993-05-30,30,Left hand Bat,Slow Left arm Orthodox,Bowler,3,Afghanistan,3,2015-2015,1,1,1.0,0,2,28.0,0,3,0,-27.0,2,1,1,11,0
113,Naveen-ul-Haq Murid,1999-09-23,24,Right hand Bat,Right arm Medium fast,Bowler,25,Afghanistan,32,2019-2024,19,10,9.5,0,40,21.5,0,4,0,-12.0,17,14,4,20,5
115,Nawroz Khan Mangal,1984-07-15,39,Right hand Bat,Right arm Offbreak,Top order Batter,3,Afghanistan,32,2010-2017,505,65,18.03,0,4,20.0,0,16,0,-1.96,18,14,3,23,7
119,Noor Ahmad Lakanwal,2005-01-03,19,Right hand Bat,Left arm Wrist spin,Bowler,16,Afghanistan,4,2022-2024,13,8,6.5,0,4,22.75,0,1,0,-16.25,2,2,4,10,2
135,Qais Ahmad Kamawal,2000-08-15,23,Right hand Bat,Legbreak,Bowler,22,Afghanistan,9,2020-2024,26,18,8.66,0,15,11.2,0,7,0,-2.53,4,2,3,16,4
142,Rashid Khan Arman,1998-09-20,25,Right hand Bat,Legbreak Googly,Bowling Allrounder,30,Afghanistan,82,2015-2023,370,48,14.8,0,130,14.8,2,32,0,0.0,53,28,5,3,8
149,Samiullah Shinwari,1987-12-31,36,Right hand Bat,Legbreak,Allrounder,6,Afghanistan,65,2010-2022,1013,61,22.02,0,28,24.57,1,19,0,-2.54,44,21,5,13,12
158,Shapoor Zadran,1987-07-08,36,Left hand Bat,Left arm Fast medium,Bowler,4,Afghanistan,36,2010-2020,27,13,3.85,0,37,24.51,0,5,0,-20.65,18,18,3,40,10
159,Sharafuddin Ashraf,1995-01-10,29,Right hand Bat,Slow Left arm Orthodox,Allrounder,4,Afghanistan,18,2015-2024,46,18,7.66,0,8,42.75,0,3,0,-35.08,14,2,3,27,9
186,Sean Anthony Abbott,1992-02-29,31,Right hand Bat,Right arm Fast medium,Bowling Allrounder,12,Australia,14,2014-2023,21,12,7.0,0,14,25.57,0,6,0,-18.57,9,5,4,31,9
187,Ashton Charles Agar,1993-10-14,30,Left hand Bat,Slow Left arm Orthodox,Bowler,6,Australia,47,2016-2022,277,29,12.04,0,48,22.35,2,31,0,-10.31,26,20,6,30,6
206,Kristen Maree Beams,1984-11-06,39,Right hand Bat,Legbreak Googly,Bowler,4,Australia,18,2014-2017,6,4,6.0,0,20,16.6,0,4,0,-10.6,13,5,3,11,3
211,Jason Paul Behrendorff,1990-04-20,33,Right hand Bat,Left arm Fast medium,Bowler,10,Australia,14,2017-2023,7,5,7.0,0,15,21.26,0,7,0,-14.26,7,6,4,21,6
223,Cameron John Boyce,1989-07-27,34,Right hand Bat,Legbreak,Bowler,9,Australia,7,2014-2016,4,3,4.0,0,8,19.0,0,0,0,-15.0,3,4,2,10,2
244,Nicola Jane Carey,1993-09-10,30,Left hand Bat,Right arm Medium,Bowler,6,Australia,27,2018-2022,60,10,20.0,0,19,24.84,0,15,0,-4.84,18,4,3,15,4
252,Daniel Trevor Christian,1983-05-04,40,Right hand Bat,Right arm Fast medium,Allrounder,20,Australia,23,2010-2021,118,39,14.75,0,13,30.61,0,6,0,-15.86,14,7,3,27,11
261,Nathan Mitchell Coulter-Nile,1987-10-11,36,Right hand Bat,Right arm Fast,Bowling Allrounder,19,Australia,28,2013-2019,150,34,13.63,0,34,23.58,0,13,0,-9.95,13,14,4,31,6
264,Sarah Jane Coyte,1991-03-30,32,Right hand Bat,Right arm Medium,Bowler,5,Australia,47,2010-2016,117,17,13.0,0,47,20.82,0,15,0,-7.82,26,21,4,5,6
268,Patrick James Cummins,1993-05-08,30,Right hand Bat,Right arm Fast,Bowler,9,Australia,50,2011-2022,116,21,9.66,0,55,24.54,0,15,0,-14.87,30,16,3,15,11
269,Benjamin Colin James Cutting,1987-01-30,36,Right hand Bat,Right arm Fast medium,Allrounder,27,Australia,7,2013-2017,40,29,10.0,0,3,71.66,0,5,0,-61.66,2,5,1,18,4
272,Timothy Hays David,1996-03-16,27,Right hand Bat,Right arm Offbreak,Middle order Batter,19,Australia,33,2019-2023,897,92,34.5,0,5,51.0,0,20,0,-16.5,17,15,1,18,4
289,Benjamin James Dwarshuis,1994-06-23,29,Left hand Bat,Left arm Fast medium,Bowler,8,Australia,3,2022-2023,1,1,0.5,0,5,22.4,0,1,0,-21.9,1,2,3,40,1
293,Nathan Ellis,1994-09-22,29,Right hand Bat,Right arm Fast medium,Bowler,7,Australia,12,2021-2023,6,4,2.0,0,22,17.31,0,5,0,-15.31,6,6,4,28,2
297,James Peter Faulkner,1990-04-29,33,Right hand Bat,Left arm Fast medium,Bowling Allrounder,16,Australia,24,2012-2017,159,41,14.45,0,36,19.0,1,11,0,-4.54,12,12,5,27,5
299,Holly Lee Ferling,1995-12-22,28,Right hand Bat,Right arm Fast medium,Bowler,6,Australia,9,2013-2016,0,0,0.0,0,5,28.4,0,0,0,-28.4,5,4,2,14,3
311,Ashleigh Katherine Gardner,1997-04-15,26,Right hand Bat,Right arm Offbreak,Allrounder,5,Australia,85,2017-2024,1308,93,26.16,0,64,21.81,1,23,0,4.34,62,16,5,12,7
313,Kimberley Jennifer Garth,1996-04-25,27,Right hand Bat,Right arm Medium fast,Allrounder,8,Australia,57,2010-2024,764,51,23.15,0,47,21.23,0,18,0,1.91,21,35,3,6,14
320,Cameron Donald Green,1999-06-03,24,Right hand Bat,Right arm Fast medium,Batting Allrounder,6,Australia,8,2022-2022,139,61,17.37,0,5,35.6,0,3,0,-18.22,5,3,2,16,0
328,Aaron Mark Hardie,1999-01-07,25,Right hand Bat,Right arm Medium fast,Allrounder,4,Australia,6,2023-2023,53,23,13.25,0,3,46.33,0,3,0,-33.08,3,3,1,20,0
331,Grace Margaret Harris,1993-09-18,30,Right hand Bat,Right arm Offbreak,Allrounder,9,Australia,42,2015-2024,408,64,21.47,0,9,17.77,0,15,0,3.69,30,9,2,7,9
335,John Wayne Hastings,1985-11-04,38,Right hand Bat,Right arm Fast medium,Allrounder,12,Australia,9,2010-2016,46,15,11.5,0,7,35.28,0,2,0,-23.78,4,5,3,14,6
337,Rachael Louise Haynes,1986-12-26,37,Left hand Bat,Left arm Medium,Batter,5,Australia,84,2010-2022,850,69,26.56,0,4,18.5,0,29,0,8.06,53,26,3,19,12
338,Josh Reginald Hazlewood,1991-01-08,33,Left hand Bat,Right arm Fast medium,Bowler,19,Australia,41,2013-2022,22,13,11.0,0,58,20.36,0,8,0,-9.36,23,16,4,12,9
339,Travis Michael Head,1993-12-29,30,Left hand Bat,Right arm Offbreak,Middle order Batter,10,Australia,23,2016-2023,554,91,29.15,0,1,56.0,0,6,0,-26.84,13,10,1,16,7
344,Moises Constantino Henriques,1987-02-01,36,Right hand Bat,Right arm Fast medium,Allrounder,12,Australia,24,2009-2021,355,62,20.88,0,7,27.71,0,6,0,-6.83,10,14,3,22,12
347,Benjamin William Hilfenhaus,1983-03-15,40,Right hand Bat,Right arm Fast medium,Bowler,9,Australia,7,2007-2012,2,2,1.0,0,9,17.88,0,0,0,-16.88,4,3,2,15,5
364,Jessica Louise Jonassen,1992-11-05,31,Left hand Bat,Slow Left arm Orthodox,Bowler,5,Australia,105,2012-2023,438,47,12.88,0,96,19.62,1,29,0,-6.74,75,26,5,12,11
374,Delissa Maree Kimmince,1989-05-14,34,Right hand Bat,Right arm Medium,Bowler,5,Australia,44,2008-2020,162,43,16.2,0,45,21.08,0,10,0,-4.88,35,8,3,20,12
380,Meghann Moira Lanning,1992-03-25,31,Right hand Bat,Right arm Medium,Top order Batter,5,Australia,132,2010-2023,3405,133,36.61,2,4,9.75,0,45,0,26.86,94,32,2,17,13
393,Mitchell Ross Marsh,1991-10-20,32,Right hand Bat,Right arm Medium,Allrounder,24,Australia,49,2011-2023,1272,92,33.47,0,15,23.2,0,24,0,10.27,26,22,3,24,12
396,Glenn James Maxwell,1988-10-14,35,Right hand Bat,Right arm Offbreak,Batting Allrounder,16,Australia,100,2012-2023,2275,145,29.54,4,39,29.33,0,41,0,0.21,58,39,3,10,11
401,Tahlia May McGrath,1995-11-10,28,Right hand Bat,Right arm Medium,Allrounder,6,Australia,39,2021-2024,900,91,42.85,0,17,21.7,0,12,0,21.15,29,5,3,13,3
402,Clinton James McKay,1983-02-20,40,Right hand Bat,Right arm Fast medium,Bowler,10,Australia,6,2010-2013,19,7,9.5,0,4,45.75,0,0,0,-36.25,1,5,2,24,3
412,Sophie Molineux,1998-01-17,26,Left hand Bat,Slow Left arm Orthodox,Bowler,5,Australia,27,2018-2021,47,18,7.83,0,26,20.69,0,11,0,-12.85,22,4,4,16,3
416,James Matthew Muirhead,1993-07-30,30,Right hand Bat,Legbreak,Bowler,11,Australia,5,2014-2014,4,3,4.0,0,6,18.16,0,3,0,-14.16,3,2,2,13,0
427,Stephen Norman John O'Keefe,1984-12-09,39,Right hand Bat,Slow Left arm Orthodox,Allrounder,5,Australia,7,2010-2011,32,22,6.4,0,6,24.83,0,1,0,-18.43,2,5,3,29,1
430,Erin Alyse Osborne,1989-06-27,34,Right hand Bat,Right arm Offbreak,Allrounder,3,Australia,59,2009-2016,78,17,8.66,0,48,22.5,0,25,0,-13.83,42,17,4,19,7
440,Ellyse Alexandra Perry,1990-11-03,33,Right hand Bat,Right arm Fast medium,Allrounder,7,Australia,151,2008-2024,1841,75,31.74,0,125,18.79,0,43,0,12.94,102,44,4,12,16
455,Jhye Avon Richardson,1996-09-20,27,Right hand Bat,Right arm Fast,Bowler,5,Australia,18,2017-2022,45,11,15.0,0,19,29.26,0,10,0,-14.26,10,8,3,26,5
456,Kane William Richardson,1991-02-12,32,Right hand Bat,Right arm Fast medium,Bowler,23,Australia,36,2014-2023,17,9,4.25,0,45,23.53,0,14,0,-19.28,22,12,4,30,9
462,Daniel Richard Sams,1992-10-27,31,Right hand Bat,Left arm Fast medium,Allrounder,18,Australia,10,2020-2022,106,41,26.5,0,7,43.57,0,4,0,-17.07,3,7,2,33,2
468,Megan Schutt,1993-01-15,31,Right hand Bat,Right arm Fast medium,Bowler,6,Australia,108,2013-2024,29,8,3.62,0,133,17.57,1,11,0,-13.94,77,25,5,15,11
475,D'Arcy John Matthew Short,1990-08-09,33,Left hand Bat,Left arm Wrist spin,Opening Batter,10,Australia,23,2018-2020,642,76,30.57,0,3,50.33,0,8,0,-19.76,12,10,1,13,2
476,Matthew William Short,1995-11-08,28,Right hand Bat,Right arm Offbreak,Top order Batter,9,Australia,7,2023-2023,156,66,22.28,0,1,36.0,0,4,0,-13.71,3,4,1,13,0
488,Steven Peter Devereux Smith,1989-06-02,34,Right hand Bat,Legbreak Googly,Top order Batter,24,Australia,65,2010-2023,1079,90,25.69,0,17,22.17,0,40,0,3.51,38,23,3,20,13
491,Billy James Stanlake,1994-11-04,29,Left hand Bat,Right arm Fast,Bowler,14,Australia,19,2017-2019,9,7,9.0,0,27,20.14,0,0,0,-11.14,12,7,4,8,2
492,Mitchell Aaron Starc,1990-01-30,34,Left hand Bat,Left arm Fast,Bowler,11,Australia,58,2012-2022,94,14,9.4,0,73,22.91,0,15,0,-13.51,34,21,4,20,10
495,Marcus Peter Stoinis,1989-08-16,34,Right hand Bat,Right arm Medium,Batting Allrounder,27,Australia,57,2015-2023,915,78,30.5,0,24,30.58,0,20,0,-0.08,34,20,3,18,8
497,Molly Strano,1992-10-05,31,Right hand Bat,Right arm Offbreak,Bowler,6,Australia,7,2017-2020,6,3,1.5,0,9,17.55,1,3,0,-16.05,2,5,5,10,3
501,Annabel Sutherland,2001-10-12,22,Right hand Bat,Right arm Medium fast,Allrounder,8,Australia,28,2020-2024,109,22,12.11,0,15,30.26,0,14,0,-18.15,20,6,3,28,4
504,Shaun William Tait,1983-02-22,40,Right hand Bat,Right arm Fast,Bowler,15,Australia,21,2007-2016,11,6,2.75,0,28,21.03,0,3,0,-18.28,14,6,3,13,9
511,Ashton James Turner,1993-01-25,31,Right hand Bat,Right arm Offbreak,Middle order Batter,10,Australia,19,2017-2023,110,24,12.22,0,4,20.5,0,7,0,-8.27,11,7,2,12,6
512,Andrew James Tye,1986-12-12,37,Right hand Bat,Right arm Medium fast,Bowler,22,Australia,32,2016-2021,83,20,10.37,0,47,21.21,0,10,0,-10.83,13,18,4,23,5
519,Tayla Jade Vlaeminck,1998-10-27,25,Right hand Bat,Right arm Fast,Bowler,4,Australia,15,2018-2022,0,0,0.0,0,13,21.84,0,6,0,-21.84,11,2,3,13,4
523,Georgia Wareham,1999-05-26,24,Right hand Bat,Legbreak,Bowler,7,Australia,52,2018-2024,116,32,16.57,0,51,16.43,0,20,0,0.14,41,8,3,12,6
528,Amanda-Jade Wellington,1997-05-29,26,Right hand Bat,Legbreak,Bowler,7,Australia,8,2017-2018,9,8,9.0,0,10,11.2,0,3,0,-2.2,5,3,4,16,1
530,Cameron Leon White,1983-08-18,40,Right hand Bat,Legbreak Googly,Middle order Batter,12,Australia,47,2007-2014,984,85,32.8,0,1,51.0,0,23,0,-18.2,28,16,1,11,7
544,Abu Hider Rony,1996-02-14,27,Right hand Bat,Left arm Fast medium,Bowler,10,Bangladesh,13,2016-2018,58,22,58.0,0,6,55.0,0,2,0,3.0,4,8,2,40,2
550,Afif Hossain Dhrubo,1999-09-22,24,Left hand Bat,Right arm Offbreak,Allrounder,8,Bangladesh,69,2018-2023,1109,77,20.53,0,12,21.66,0,19,0,-1.12,29,38,3,11,5
558,Al-Amin Hossain,1992-12-27,31,Right hand Bat,Right arm Medium fast,Bowler,13,Bangladesh,31,2013-2020,7,5,3.5,0,43,16.97,0,4,0,-13.47,12,17,3,20,7
561,Alok Kapali,1984-01-01,40,Right hand Bat,Legbreak,Allrounder,8,Bangladesh,7,2007-2011,57,19,11.4,0,2,17.5,0,2,0,-6.1,3,4,2,12,4
563,Aminul Islam Biplob,1999-11-06,24,Right hand Bat,Legbreak Googly,Allrounder,5,Bangladesh,10,2019-2021,35,9,11.66,0,12,19.83,0,1,0,-8.16,3,7,3,34,2
569,Arafat Sunny,1986-09-29,37,Left hand Bat,Slow Left arm Orthodox,Bowler,13,Bangladesh,10,2014-2016,34,10,11.33,0,12,19.16,0,1,0,-7.83,3,7,2,17,2
570,Ariful Haque,1992-11-18,31,Right hand Bat,Right arm Medium fast,Allrounder,10,Bangladesh,9,2018-2018,59,18,14.75,0,1,13.0,0,5,0,1.75,3,6,1,13,0
596,Mohammad Elias Sunny,1986-01-01,38,Left hand Bat,Slow Left arm Orthodox,Bowler,9,Bangladesh,7,2012-2012,9,5,4.5,0,9,16.22,1,4,0,-11.72,4,3,5,13,0
598,Fahima Khatun,1992-11-02,31,Right hand Bat,Legbreak,Bowler,3,Bangladesh,78,2013-2023,331,32,9.73,0,46,24.41,0,27,0,-14.67,31,46,4,8,10
600,Farhad Reza,1986-06-16,37,Right hand Bat,Right arm Fast medium,Allrounder,12,Bangladesh,13,2006-2014,72,19,8.0,0,6,43.5,0,4,0,-35.5,5,8,2,34,8
601,Fariha Islam Trisna,2002-09-13,21,Right hand Bat,Left arm Medium,Bowler,1,Bangladesh,6,2022-2023,1,1,1.0,0,7,19.28,0,1,0,-18.28,2,4,3,12,1
608,Hasan Mahmud,1999-10-12,24,Right hand Bat,Right arm Fast medium,Bowler,8,Bangladesh,17,2020-2023,7,3,3.5,0,18,24.72,0,5,0,-21.22,10,7,3,47,3
620,Jahanara Alam,1993-04-01,30,Right hand Bat,Right arm Medium,Bowler,4,Bangladesh,78,2012-2023,168,18,6.46,0,57,23.31,1,12,0,-16.85,26,52,5,28,11
625,Jishan Alam,2004-11-10,19,Right hand Bat,Right arm Offbreak,Batting Allrounder,1,Bangladesh,3,2022-2023,149,73,49.66,0,1,88.0,0,3,0,-38.33,1,2,1,25,1
631,Khadija Tul Kubra,1995-01-30,29,Right hand Bat,Right arm Offbreak,Bowler,1,Bangladesh,49,2012-2020,19,5,3.16,0,43,18.46,0,6,0,-15.29,18,31,3,5,8
637,Mahedi Hasan,1994-12-12,29,Right hand Bat,Right arm Offbreak,Allrounder,11,Bangladesh,41,2018-2023,282,30,12.81,0,34,25.11,0,13,0,-12.29,15,24,3,19,5
639,Mahfuzur Rahman Rabby,2005-05-08,18,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,1,Bangladesh,3,2022-2023,50,38,16.66,0,2,24.0,0,1,0,-7.33,1,2,2,15,1
643,Mohammad Mahmudullah,1986-02-04,38,Right hand Bat,Right arm Offbreak,Allrounder,15,Bangladesh,121,2007-2022,2122,64,23.57,0,38,26.63,0,46,0,-3.05,41,77,3,10,15
647,Marufa Akter,2005-01-01,19,Right hand Bat,Right arm Medium fast,Bowler,2,Bangladesh,16,2022-2023,4,3,1.33,0,13,22.84,0,2,0,-21.51,5,10,3,23,1
648,Mashrafe Bin Mortaza,1983-10-05,40,Right hand Bat,Right arm Fast medium,Bowler,7,Bangladesh,54,2006-2017,377,36,13.46,0,42,36.35,0,10,0,-22.89,19,34,4,19,11
657,Mehidy Hasan Miraz,1997-10-25,26,Right hand Bat,Right arm Offbreak,Allrounder,8,Bangladesh,25,2017-2023,248,46,14.58,0,13,36.76,0,12,0,-22.18,12,13,4,12,6
660,Mohammad Ashraful,1984-07-07,39,Right hand Bat,"Right arm Offbreak, Legbreak",Middle order Batter,9,Bangladesh,23,2007-2013,450,65,19.56,0,8,26.25,0,4,0,-6.68,6,17,3,42,6
666,Mohammad Saifuddin,1996-11-01,27,Left hand Bat,Right arm Medium fast,Bowling Allrounder,7,Bangladesh,34,2017-2022,200,39,18.18,0,34,29.67,0,8,0,-11.49,17,17,4,33,5
675,Ripon Mondol,2003-03-21,20,Right hand Bat,Right arm Medium,Bowler,2,Bangladesh,3,2023-2023,0,0,0.0,0,4,15.0,0,0,0,-15.0,2,1,3,14,0
679,Mosaddek Hossain Saikat,1995-12-10,28,Right hand Bat,Right arm Offbreak,Middle order Batter,11,Bangladesh,33,2016-2022,389,48,18.52,0,18,22.11,1,13,0,-3.58,11,22,5,20,6
689,Mustafizur Rahman,1995-09-06,28,Left hand Bat,Left arm Fast medium,Bowler,14,Bangladesh,88,2015-2023,71,15,4.73,0,105,22.26,1,19,0,-17.53,41,45,5,22,8
693,Mohammed Naeem Islam,1986-12-31,37,Right hand Bat,Right arm Offbreak,Allrounder,8,Bangladesh,10,2008-2013,130,28,14.44,0,3,40.66,0,2,0,-26.22,1,9,2,32,5
697,Nahida Akter,2000-03-02,23,Right hand Bat,Slow Left arm Orthodox,Bowler,1,Bangladesh,75,2015-2023,115,15,8.84,0,86,16.15,2,18,0,-7.3,38,36,5,8,8
700,Mohammad Nasir Hossain,1991-11-30,32,Right hand Bat,Right arm Offbreak,Allrounder,13,Bangladesh,31,2011-2016,370,50,18.5,0,7,37.42,0,15,0,-18.92,11,19,2,26,5
701,Nasum Ahmed,1994-12-05,29,Left hand Bat,Slow Left arm Orthodox,Bowler,7,Bangladesh,35,2021-2023,64,19,9.14,0,34,23.14,0,6,0,-14.0,17,17,4,10,2
707,Mohammad Nazmul Islam,1992-03-21,31,Left hand Bat,Slow Left arm Orthodox,Bowler,10,Bangladesh,13,2018-2018,18,7,18.0,0,8,33.12,0,2,0,-15.12,4,9,3,28,0
723,Rabeya Khan,2005-03-11,18,Right hand Bat,Legbreak,Allrounder,3,Bangladesh,17,2019-2023,26,11,6.5,0,17,15.05,0,3,0,-8.55,8,8,4,8,4
733,Mohammad Rishad Hossain,2002-07-15,21,Right hand Bat,Legbreak Googly,Bowler,7,Bangladesh,6,2023-2023,18,10,9.0,0,3,31.33,0,1,0,-22.33,3,2,1,19,0
734,MST. Ritu Moni,1993-02-05,30,Right hand Bat,Right arm Medium,Allrounder,2,Bangladesh,61,2012-2023,362,39,10.96,0,20,24.55,0,5,0,-13.58,27,34,4,18,11
742,Mohammad Rubel Hossain,1990-01-01,34,Right hand Bat,Right arm Fast,Bowler,12,Bangladesh,28,2009-2021,20,8,4.0,0,28,32.57,0,1,0,-28.57,5,22,3,31,12
743,Rumana Ahmed,1991-05-29,32,Right hand Bat,Legbreak,Allrounder,2,Bangladesh,84,2012-2023,854,50,13.13,0,75,18.7,0,12,0,-5.56,27,57,3,2,11
745,Mohammad Sabbir Rahman,1991-11-22,32,Right hand Bat,Legbreak,Middle order Batter,15,Bangladesh,48,2014-2022,977,80,23.26,0,6,13.16,0,25,0,10.09,18,29,3,11,8
754,Salma Khatun,1990-10-01,33,Right hand Bat,Right arm Offbreak,Allrounder,2,Bangladesh,95,2012-2023,634,49,15.46,0,84,18.57,0,18,0,-3.1,37,58,4,6,11
756,Sanjida Akter Meghla,2001-06-04,22,Right hand Bat,Slow Left arm Orthodox,Bowler,1,Bangladesh,18,2019-2023,4,2,4.0,0,18,16.38,0,5,0,-12.38,10,8,2,4,4
765,Shafiul Islam,1989-10-06,34,Right hand Bat,Right arm Fast medium,Bowler,8,Bangladesh,20,2010-2020,23,16,4.6,0,20,26.6,0,1,0,-22.0,6,14,3,36,10
766,Kazi Shahadat Hossain,1986-08-07,37,Right hand Bat,Right arm Medium fast,Bowler,7,Bangladesh,6,2006-2013,8,4,4.0,0,4,49.5,0,0,0,-45.5,1,5,2,22,7
775,Shakib Al Hasan,1987-03-24,36,Left hand Bat,Slow Left arm Orthodox,Allrounder,21,Bangladesh,117,2006-2023,2382,84,23.82,0,140,20.49,2,26,0,3.32,47,68,5,20,17
791,Mohammad Shoriful Islam,2001-06-03,22,Left hand Bat,Left arm Medium fast,Bowler,7,Bangladesh,34,2021-2023,28,6,4.0,0,40,22.42,0,7,0,-18.42,10,22,3,21,2
792,Shorna Akter,2007-01-01,17,Right hand Bat,Legbreak,Allrounder,2,Bangladesh,15,2023-2023,165,31,16.5,0,12,13.58,1,2,0,2.91,5,9,5,28,0
794,Shuvagata Hom Chowdhury,1986-11-11,37,Right hand Bat,Right arm Offbreak,Batting Allrounder,11,Bangladesh,5,2016-2016,35,16,17.5,0,2,35.5,0,1,0,-18.0,2,3,1,18,0
796,Sohag Gazi,1991-08-05,32,Right hand Bat,Right arm Offbreak,Bowler,7,Bangladesh,10,2012-2015,57,24,14.25,0,4,74.75,0,2,0,-60.5,1,9,1,28,3
798,Soumya Sarkar,1993-02-25,30,Left hand Bat,Right arm Medium fast,Middle order Batter,13,Bangladesh,75,2015-2023,1238,68,17.43,0,11,37.9,0,37,0,-20.47,27,46,2,19,8
800,Sultana Khatun,1996-02-05,27,Right hand Bat,Right arm Offbreak,Bowler,1,Bangladesh,8,2023-2023,27,12,6.75,0,9,17.44,0,1,0,-10.69,4,4,3,21,0
806,Syed Rasel,1984-07-03,39,Left hand Bat,Left arm Medium fast,Bowler,5,Bangladesh,8,2007-2008,7,6,3.5,0,4,50.5,0,1,0,-47.0,2,6,1,10,1
